,Blue Hill Ave,,,,Blue Hill Ave,,,,,,,,Lawrence Ave,,,
,Northbound,,,,Southbound,,,,Eastbound,,,,Westbound,,,
Start Time,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right
7:00 AM,0,0,161,7,0,8,106,0,0,0,0,0,0,0,0,0
7:15 AM,0,0,173,15,0,9,119,0,0,0,0,0,0,0,0,0
7:30 AM,0,0,84,11,0,14,87,0,0,0,0,0,0,0,0,0
7:45 AM,0,0,109,15,0,15,64,0,0,0,0,0,0,0,0,0
8:00 AM,0,0,92,7,0,23,59,0,0,0,0,0,0,0,0,0
8:15 AM,1,0,174,2,0,22,81,0,0,0,0,0,0,0,0,0
8:30 AM,0,0,162,6,0,13,98,0,0,0,0,0,0,0,0,0
8:45 AM,1,0,156,8,0,6,90,0,0,0,0,0,0,0,0,0
9:00 AM,0,0,161,5,0,13,85,0,0,0,0,0,0,0,0,0
9:15 AM,0,0,137,10,0,10,81,0,0,0,0,0,0,0,0,0
9:30 AM,0,0,137,3,0,7,78,0,0,0,0,0,0,0,0,0
9:45 AM,0,0,153,5,0,7,94,0,0,0,0,0,0,0,0,0
10:00 AM,0,0,140,6,0,5,90,0,0,0,0,0,0,0,0,0
10:15 AM,0,0,132,4,0,8,90,0,0,0,0,0,0,0,0,0
10:30 AM,0,0,110,1,0,12,105,0,0,0,0,0,0,0,0,0
10:45 AM,0,0,118,10,0,10,83,0,0,0,0,0,0,0,0,0
11:00 AM,0,0,114,4,1,5,104,0,0,0,0,0,0,0,0,0
11:15 AM,0,0,125,6,0,8,90,0,0,0,0,0,0,0,0,0
11:30 AM,0,0,103,5,0,11,110,0,0,0,0,0,0,0,0,0
11:45 AM,0,0,100,6,2,8,95,0,0,0,0,0,0,0,0,0
12:00 PM,0,0,116,5,0,13,105,0,0,0,0,0,0,0,0,0
12:15 PM,0,0,100,6,0,11,111,0,0,0,0,0,0,0,0,0
12:30 PM,0,0,124,4,2,11,79,0,0,0,0,0,0,0,0,0
12:45 PM,0,0,125,2,0,14,97,0,0,0,0,0,0,0,0,0
1:00 PM,0,0,116,5,0,5,108,0,0,0,0,0,0,0,0,0
1:15 PM,0,0,117,4,0,14,125,0,0,0,0,0,0,0,0,0
1:30 PM,0,0,107,9,0,5,126,0,0,0,0,0,0,0,0,0
1:45 PM,0,0,131,10,0,13,124,0,0,0,0,0,0,0,0,0
2:00 PM,0,0,122,9,0,12,119,0,0,0,0,0,0,0,0,0
2:15 PM,0,0,123,12,0,15,129,0,0,0,0,0,0,0,0,0
2:30 PM,0,0,126,11,0,14,104,0,0,0,0,0,0,0,0,0
2:45 PM,0,0,118,11,0,17,98,0,0,0,0,0,0,0,0,0
3:00 PM,0,0,122,12,0,20,127,0,0,0,0,0,0,0,0,0
3:15 PM,0,0,106,7,0,15,100,0,0,0,0,0,0,0,0,0
3:30 PM,0,0,123,2,0,10,126,0,0,0,0,0,0,0,0,0
3:45 PM,0,0,118,8,0,19,124,0,0,0,0,0,0,0,0,0
4:00 PM,0,0,104,12,1,27,114,0,0,0,0,0,0,0,0,0
4:15 PM,0,0,125,14,0,25,126,0,0,0,0,0,0,0,0,0
4:30 PM,0,0,116,13,0,27,115,0,0,0,0,0,0,0,0,0
4:45 PM,0,0,128,13,0,22,125,0,0,0,0,0,0,0,0,0
5:00 PM,0,0,121,9,0,16,123,0,0,0,0,0,0,0,0,0
5:15 PM,0,0,126,13,0,20,121,0,0,0,0,0,0,0,0,0
5:30 PM,0,0,137,4,0,23,116,0,0,0,0,0,0,0,0,0
5:45 PM,0,0,111,8,0,22,125,0,0,0,0,0,0,0,0,0
6:00 PM,0,0,123,16,0,21,119,0,0,0,0,0,0,0,0,0
6:15 PM,0,0,115,9,1,11,126,0,0,0,0,0,0,0,0,0
6:30 PM,1,0,122,8,0,9,112,0,0,0,0,0,0,0,0,0
6:45 PM,0,0,128,6,0,16,127,0,0,0,0,0,0,0,0,0